id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Leon Edwards,,,,"Aug 25, 1991",0.25,6.5625,-0.4375,0.25,0.8125,22,0,32,26,,4,4,2403,1351.0964216408822,1118.5969239287747,3,3,1,1,8,8,2,2,1,1,Colby Covington,,,,"Feb 22, 1988",-0.2,17.333333333333332,4.0,-0.06666666666666667,0.8,2,0,30,24,,6,2,3305,1293.503448037322,1156.348238372484,4,4,3,3,8,8,0,0,0,0,unknown,,,
,,unknown,Colby Covington,,,,"Feb 22, 1988",-0.2,17.333333333333332,4.0,-0.06666666666666667,0.8,2,0,30,24,,6,2,3305,1293.503448037322,1156.348238372484,4,4,3,3,8,8,0,0,0,0,Leon Edwards,,,,"Aug 25, 1991",0.25,6.5625,-0.4375,0.25,0.8125,22,0,32,26,,4,4,2403,1351.0964216408822,1118.5969239287747,3,3,1,1,8,8,2,2,1,1,unknown,,,
,,unknown,Alexandre Pantoja,,,,"Apr 16, 1990",0.23076923076923078,6.6923076923076925,-0.46153846153846156,0.7692307692307693,0.7692307692307693,8,0,26,20,,2,2,3011,1194.3181554880473,1052.828417026316,2,2,4,4,5,5,2,2,0,0,Brandon Royval,,,,"Aug 16, 1992",0.14285714285714285,5.285714285714286,-2.142857142857143,0.42857142857142855,0.7142857142857143,6,0,14,10,,0,0,2074,1112.8925161802247,1058.0471228187864,2,2,4,4,0,0,1,1,0,0,unknown,,,
,,unknown,Brandon Royval,,,,"Aug 16, 1992",0.14285714285714285,5.285714285714286,-2.142857142857143,0.42857142857142855,0.7142857142857143,6,0,14,10,,0,0,2074,1112.8925161802247,1058.0471228187864,2,2,4,4,0,0,1,1,0,0,Alexandre Pantoja,,,,"Apr 16, 1990",0.23076923076923078,6.6923076923076925,-0.46153846153846156,0.7692307692307693,0.7692307692307693,8,0,26,20,,2,2,3011,1194.3181554880473,1052.828417026316,2,2,4,4,5,5,2,2,0,0,unknown,,,
,,unknown,Shavkat Rakhmonov,,,,"Oct 23, 1994",0.2,14.8,0.8,0.8,1.0,10,0,10,10,,0,0,1234,1188.153449990497,1131.893426393884,1,1,4,4,0,0,0,0,0,0,Stephen Thompson,,,,"Feb 11, 1983",0.2631578947368421,17.31578947368421,-0.7368421052631579,-0.21052631578947367,0.631578947368421,2,0,38,24,,4,0,5415,1197.2787339407662,1147.1893576249063,7,7,0,0,10,10,0,0,1,1,unknown,,,
,,unknown,Stephen Thompson,,,,"Feb 11, 1983",0.2631578947368421,17.31578947368421,-0.7368421052631579,-0.21052631578947367,0.631578947368421,2,0,38,24,,4,0,5415,1197.2787339407662,1147.1893576249063,7,7,0,0,10,10,0,0,1,1,Shavkat Rakhmonov,,,,"Oct 23, 1994",0.2,14.8,0.8,0.8,1.0,10,0,10,10,,0,0,1234,1188.153449990497,1131.893426393884,1,1,4,4,0,0,0,0,0,0,unknown,,,
,,unknown,Paddy Pimblett,,,,"Jan 03, 1995",0.25,5.5,-1.25,1.25,1.0,8,0,8,8,,0,0,1078,1120.097264460409,1013.8930576501784,1,1,2,2,1,1,0,0,0,0,Tony Ferguson,,,,"Feb 12, 1984",-0.09090909090909091,8.363636363636363,-0.5,0.4090909090909091,0.6818181818181818,0,12,44,30,,6,4,5287,1129.7967928868227,1122.4870799932428,7,7,8,8,6,6,1,1,0,0,unknown,,,
,,unknown,Tony Ferguson,,,,"Feb 12, 1984",-0.09090909090909091,8.363636363636363,-0.5,0.4090909090909091,0.6818181818181818,0,12,44,30,,6,4,5287,1129.7967928868227,1122.4870799932428,7,7,8,8,6,6,1,1,0,0,Paddy Pimblett,,,,"Jan 03, 1995",0.25,5.5,-1.25,1.25,1.0,8,0,8,8,,0,0,1078,1120.097264460409,1013.8930576501784,1,1,2,2,1,1,0,0,0,0,unknown,,,
,,unknown,Josh Emmett,,,,"Mar 04, 1985",0.6923076923076923,-8.153846153846153,0.23076923076923078,0.0,0.6923076923076923,0,4,26,18,,2,0,4866,1159.7184934238348,1104.131433233062,4,4,1,1,5,5,3,3,0,0,Bryce Mitchell,,,,"Oct 04, 1994",0.0,9.571428571428571,1.5714285714285714,1.0,0.8571428571428571,0,2,14,12,,0,0,1169,1137.4890867287677,1047.0465952618601,0,0,2,2,4,4,0,0,1,1,unknown,,,
,,unknown,Bryce Mitchell,,,,"Oct 04, 1994",0.0,9.571428571428571,1.5714285714285714,1.0,0.8571428571428571,0,2,14,12,,0,0,1169,1137.4890867287677,1047.0465952618601,0,0,2,2,4,4,0,0,1,1,Josh Emmett,,,,"Mar 04, 1985",0.6923076923076923,-8.153846153846153,0.23076923076923078,0.0,0.6923076923076923,0,4,26,18,,2,0,4866,1159.7184934238348,1104.131433233062,4,4,1,1,5,5,3,3,0,0,unknown,,,
